rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,25.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000.0,
apartamentowiec,56.6,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874500.0,
apartamentowiec,57.1,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,989000.0,,,
apartamentowiec,71.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1050000.0,,,
apartamentowiec,71.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1372000.0,,1039500.0,
apartamentowiec,80.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,2250000.0,,,,,,,,,,,,,,1941666.6666666667,,,
apartamentowiec,88.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1700500.0,,1250000.0,
apartamentowiec,97.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1874500.0,,,
apartamentowiec,102.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1200000.0,,,,,,,,,,,,,,,,,
apartamentowiec,103.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1730000.0,,,,,,,,,,,,,,,,,
apartamentowiec,103.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1780000.0,,,,,,,,,,,,,,,,,
apartamentowiec,36.8,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,690000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,70.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,71.46,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,1090000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,91.8,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,1950000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,98.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,2880000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,105.31,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,1850000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,109.59,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,2750000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,114.41,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,2990000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,44.4,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,532000.0,,,,,,,,,,,,,,,
apartamentowiec,55.57,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1105843.0,,,,,,,,,,,,,,,,,
apartamentowiec,93.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,2055000.0,,,,,,,,,,,,,,,,,
apartamentowiec,79.14,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1295000.0,,,
apartamentowiec,29.65,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,475000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,32.98,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,469000.0,,808010.0,,,,,,,,,,,,,,,,,
apartamentowiec,39.89,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,625000.0,,730000.0,,,,,,,,,,,,,,,,,
apartamentowiec,42.18,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,556000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,44.31,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,59.85,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,567500.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.85,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,936000.0,,1200000.0,,,,,,,,,,,,,,1280000.0,,1197500.0,
apartamentowiec,79.94,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,1032720.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,26.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,629000.0,,,,,,,,,,,,,,,,,
apartamentowiec,28.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,550000.0,,,,,,,,,,,,,,,,,
apartamentowiec,45.2,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099000.0,
apartamentowiec,45.23,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,729000.0,,,,,,,,,,,,,,,,,
apartamentowiec,47.7,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,,729000.0,
